idx,off,off_pad,n_read,size,fid_raw,fid_pad,E,F,ones,H,X_bad,ts
0,0,0,2435,4096,6a5b21ed,4a718a43,19058,0,9425,0.287628,1,1769786287
0,0,0,2435,4096,6a5b21ed,4a718a43,19058,0,9425,0.287628,1,1769834991
0,0,2435,1769835845,680ccd61,10055,0,9425,0.999245,0
