rank	zone	refs	share
1	0	323493	98.81%
2	34	988	0.30%
3	35	900	0.27%
4	11	688	0.21%
5	32	193	0.06%
6	14	181	0.06%
7	15	117	0.04%
8	17	109	0.03%
9	28	95	0.03%
10	30	77	0.02%
11	33	71	0.02%
12	12	48	0.01%
13	6	40	0.01%
14	25	40	0.01%
15	31	38	0.01%
16	16	37	0.01%
17	29	33	0.01%
18	9	29	0.01%
19	3	23	0.01%
20	4	23	0.01%
21	13	20	0.01%
22	2	19	0.01%
23	27	18	0.01%
24	1	16	0.00%
25	5	15	0.00%
26	10	15	0.00%
27	22	8	0.00%
28	8	7	0.00%
29	21	7	0.00%
30	26	7	0.00%
